Plant,SaleMan,Customer,Item,Description,ค่าเผื่อ,Back Order,Safety,สต็อก,มีพีโอ,เกินพีโอ,ผลิตล่าสุด,ขายล่าสุด,อายุ,Reason (ที่มา),Action (วิธีการ),Remarks,Commit Date,Planning Remarks
P4,,,G91-01-5LM-31043-110-00-0002-1,ข้าวขาวพื้นนุ่ม ดอกชมนาด 5 กก.,#DIV/0!,"5,000",,"5,284","5,000",284,08/12/2025,13/12/2025,2-4 เดือน,,,,,-
P4,,,G91-01-5LM-41064-110-00-0003-1,ข้าวขาวพื้นนุ่ม ดอกชมนาด 14 กก.,#DIV/0!,"5,000",,"4,933","4,933",0,08/12/2025,13/12/2025,2-4 เดือน,,,,,-
P4,,,G91-01-5LM-58089-110-00-0001-1,ข้าวขาวพื้นนุ่ม ดอกชมนาด 40 กก.,#DIV/0!,"5,000",,"5,140","5,000",140,12/12/2025,13/12/2025,2-4 เดือน,,,,,-
P2/1,,,G91-01-5LU-51102-120-10-0003-1,กส.อาหารโคนม (เม็ด) อ.ส.ค.920 30กก.เขียว,0,"10,000",,"1,300","1,300",0,16/02/2026,17/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0040-1,CC TRR สกลนคร อ้อยธรรมชาติ 50 กก. ส่งออก,#DIV/0!,,,"2,360",0,"2,360",26/12/2024,16/05/2025,เกินปี,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,มีแจ้ง Stock ให้ฝ่ายขายเจรจาขอเคลียร์ขายกับลูกค้า,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0041-1,CC TRR สกลนคร อ้อยธรรมชาติ50กก.นปท+วัต,#DIV/0!,"1,600",,"1,239","1,239",0,02/02/2025,22/01/2025,เกินปี,3. สินค้ามีปัญหาคุณภาพ,1. มีพีโอผลักดันส่งมอบลูกค้า,มีแจ้ง Stock ให้ฝ่ายขายเจรจาขอเคลียร์ขายกับลูกค้า,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0045-1,67-68 TRR-Sithep Refined-นอก 50 กก.RS,#DIV/0!,"270,000",,339,339,0,20/10/2025,21/10/2025,5-6 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0053-1,6768TRR-Sithepขาว-ใน50กก.+วัตถุดิบ_05-25,#DIV/0!,"178,251",,"3,423","3,423",0,08/02/2026,16/02/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0055-1,6768TRR-Sithepอ้อยธรรมชาติ+วัตถุดิบ_5-25,#DIV/0!,,,910,0,910,09/09/2025,08/09/2025,5-6 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,มีแจ้ง Stock ให้ฝ่ายขายเจรจาขอเคลียร์ขายกับลูกค้า,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10E-10-0056-1,66-67 TRR-Sithep ขาว-ใน_05-25,#DIV/0!,,,310,0,310,18/07/2025,19/07/2025,7-8 เดือน,3. สินค้ามีปัญหาคุณภาพ,7. ขายเกรดบี,,,-
P2/1,ธนโชติ,บจ.ไทยรุ่งเรืองอุตสาหกรรม,G91-01-610-58094-10F-10-0058-1,6768TRR-Sithepขาว-ใน50กก.+วัตถุดิบ_07-25,#DIV/0!,,,881,0,881,17/01/2026,17/01/2026,1 เดือน,3. สินค้ามีปัญหาคุณภาพ,7. ขายเกรดบี,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-36059-110-00-0066-1,Lin 10 กก.(500g x 20 ถุง) ก.ย.2024_RS,#DIV/0!,"30,000",,"8,975","8,975",0,24/12/2025,03/02/2026,1 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-49077-100-10-0069-1,Caster Sugar เกล็ดละเอียด (ลินส้ม) 25กก.,#DIV/0!,"20,000",,"19,652","19,652",0,22/12/2025,07/01/2026,2-4 เดือน,,,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-49077-110-00-0068-1,67-68 Lin 100% Refined Sugar 1kgx25,#DIV/0!,"29,000",,800,800,0,30/10/2025,31/10/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-58094-10E-10-0052-1,CC 66-67 TRR-บ้านไร่ Refined-นอก50กก,#DIV/0!,,,"61,134",0,"61,134",03/04/2025,20/08/2025,9-12 เดือน,3. สินค้ามีปัญหาคุณภาพ,8. ขายเม็ดหลอม,งานติดคุณภาพสีลอก,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-58094-10E-10-0054-1,CC 66-67กระสอบน้ำตาล Refined-ใน TRR-บ้,#DIV/0!,,,100,0,100,16/07/2024,26/08/2024,เกินปี,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,8. ขายเม็ดหลอม,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-58094-10E-10-0062-1,66-67 TRR-บ้านไร่ Refined-นอก50กก_RS,#DIV/0!,"540,000",,"144,468","144,468",0,19/02/2026,15/01/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/1,ชาญเดช,บจ.อุตสาหกรรมน้ำตาลกาญจนบุรี  / ชื่อใหม่ บ้านไร่  24/04/51,G91-01-630-58094-10E-10-0065-1,67-68 TRR บ้านไร่ ขาว-ใน 50กก. แปรรูป_RS,#DIV/0!,"148,000",,"83,400","83,400",0,31/01/2026,06/03/2025,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,8. ขายเม็ดหลอม,เป็นงาน Lot เก่า ขายไม่ได้แล้ว,,-
P2/3,ภูมิดล,บริษัท อินเทคค์ ฟีด จำกัด,G91-01-655-51092-110-00-0013-1,กส.อาหารเป็ด Perfeqc 664HP 30 กก.10-22,#DIV/0!,,,"1,214",0,"1,214",15/10/2025,18/10/2025,5-6 เดือน,3. สินค้ามีปัญหาคุณภาพ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,, งาน Reprint เผื่อของเสีย   รอ CO
P2/3,ภูมิดล,บริษัท อินเทคค์ ฟีด จำกัด,G91-01-655-51092-110-00-0553-1,กส.อาหารเป็ด Perfeqc 664 30 กก.07-24,#DIV/0!,,,"1,309",0,"1,309",15/10/2025,18/10/2025,5-6 เดือน,3. สินค้ามีปัญหาคุณภาพ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/3,ภูมิดล,บริษัท อินเทคค์ ฟีด จำกัด,G91-01-655-66109-110-10-0540-1,ถั่วเหลืองอบ Golden Pro 50กก. 01-24,#DIV/0!,,"7,000","7,417","7,000",417,10/02/2026,29/01/2026,ไม่เกิน 30 วัน,,,,,-
P4,ปิยวัฒน์,แกรนด์/บจ.เว็ลตี้ เกรน/บ. บุรีรัมย์สหสินข้าวไทย จก.,G91-01-656-58092-110-00-0301-1,กระสอบข้าวหอมมะลิตราระฆังหลวง( สีส้ม)48ก,-1,,,600,0,600,29/09/2025,30/09/2025,5-6 เดือน,,,,,-
P4,ปิยวัฒน์,หจก. โรงสีสุรินทร์ทวีผล,G91-01-671-58094-110-00-0007-1,สูตร ข้าวยี่จ๊อมะลิ ตราสิงห์ 49 Kg.(ฟ้า),-1,"5,000",,"6,083","5,000","1,083",13/11/2025,13/11/2025,2-4 เดือน,,,,,-
P4,ปิยวัฒน์,หจก. โรงสีสุรินทร์ทวีผล,G91-01-671-58094-110-00-0009-1,สูตร ข้าวหอมมะลิแท้ ตราสิงห์ 49 Kg.(แดง),-1,"5,000",,"5,135","5,000",135,18/11/2025,13/11/2025,2-4 เดือน,,,,,-
P2/1,เขตรัฐ,บ.เบญจิรทิพย์ /  บจ. อาร์ เค เพ็ท โปรดักส์ / บจ. อาร์ อาร์ เพ็ท,G91-01-705-41064-100-00-0010-1,กระสอบพญาไก่ทอง ตราไก่ทอง 10 กก.,-1,"5,165",,"5,165","5,165",0,11/01/2026,16/01/2026,1 เดือน,,,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-100-10-0091-E,กส.JIN BAI HE 50kg Lot2025.03.03,#DIV/0!,,,965,0,965,17/02/2025,22/02/2025,เกินปี,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0089-E,กส. taihuang kokor6 50Kg 2025.01.31,#DIV/0!,,,"1,640",0,"1,640",22/01/2025,22/01/2025,เกินปี,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0092-E,กส. taihuang kokor6 50Kg 2025.03.1,#DIV/0!,,,"1,155",0,"1,155",24/02/2025,24/02/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0096-E,กส. taihuang kokor6 50Kg 2025/3/6,#DIV/0!,,,500,0,500,09/03/2025,10/03/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0097-E,กส. taihuang kokor6 50Kg 2025.03.20,#DIV/0!,,,"1,340",0,"1,340",21/03/2025,25/03/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0098-E,กส. taihuang kokor6 50Kg 2025.03.28,#DIV/0!,,,"1,685",0,"1,685",27/03/2025,28/03/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0099-E,กส. taihuang kokor6 50Kg 2025.04.03,#DIV/0!,,,500,0,500,03/04/2025,03/04/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0101-E,กส. taihuang kokor6 50Kg 2025.04.25,#DIV/0!,,,860,0,860,01/05/2025,24/04/2025,9-12 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P4,กิตติวัฒน์,บจ.โรงสีข้าว ป.ณัฐตพล / บจ. ป.ณัฐตพลไรซ์ เอ็กซ์ปอร์ตเตอร์,G91-01-746-58094-120-10-0102-E,กส.Jun jia broken rice 50kg 15/7/25,#DIV/0!,,,681,0,681,14/07/2025,17/07/2025,7-8 เดือน,17. ผลิตเกินค่า (+0/-0),7. ขายเกรดบี,,,-
P2/1,ธนโชติ,บจ.ปุ๋ยเอเชีย,G91-01-762-60101-120-10-0033-1,กส.ปุ๋ยไก่อูลูกโลก 46-0-0_2120074/68,-1,"5,000",,"5,250","5,000",250,28/01/2026,03/02/2026,ไม่เกิน 30 วัน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,ธนโชติ,บจ.ปุ๋ยเอเชีย,G91-01-762-60101-120-10-0035-1,ปุ๋ยตราหัวเสือลูกโลก 46-0-0_2120076/68,-1,"5,000",,"5,313","5,000",313,31/01/2026,03/02/2026,ไม่เกิน 30 วัน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,ธนโชติ,บริษัท น้ำตาลสิงห์บุรี จำกัด,G91-01-773-41053-110-00-0023-1,SB056 Re00_White Sugar280กรัมx6ถุงx6แพ็ค,+0/-0 (ใช้เทปรัดเบลสีเหลือง),,,954,0,954,05/06/2025,05/06/2025,9-12 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51072-100-00-0026-1,CC Lysine Sulfate 1404,0,,,270,0,270,22/04/2024,29/04/2024,เกินปี,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,***รอฝ่ายขายแจ้งกลับ***,, งานเกินจากการผลิตตามค่าเผื่อ
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51072-100-00-0037-1,Lysine Sulfate 301_08-24,0,,,80,0,80,28/11/2025,09/12/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51072-100-00-0038-1,Lysine Sulfate 1404_10-24,0,"15,000",,245,245,0,04/02/2026,14/02/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51094-100-00-0024-1,กระสอบขาวพิมพ์แถบชมพู 301,0,,,235,0,235,29/11/2025,09/12/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,30/12/2022 0:00, ผลิตตามค่าเผื่อ
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51094-100-00-0032-1,CC กระสอบขาวพิมพ์ 1404,0,,,249,0,249,23/04/2024,29/04/2024,เกินปี,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,***รอฝ่ายขายแจ้งกลับ***,, งานเกินจากการผลิตตามค่าเผื่อ
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51094-100-00-0034-1,กระสอบขาวพิมพ์แถบน้ำเงิน 303_07-24,0,"20,000",,"4,865","4,865",0,19/02/2026,02/12/2025,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,ธฤต,บริษัท คาร์กิลล์ มีท จำกัด,G91-01-788-51094-100-00-0039-1,กระสอบขาวพิมพ์ 1404_12-24,0,,,1,0,1,04/02/2026,14/02/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/1,กิตติวัฒน์,บริษัท  น้ำตาลเอราวัณ  จำกัด,G91-01-799-60095-200-10-0029-L,กส.น้ำตาลเอราวัณ Refined S47 50กก_RS,#DIV/0!,,,178,0,178,10/05/2025,20/08/2025,9-12 เดือน,3. สินค้ามีปัญหาคุณภาพ,7. ขายเกรดบี,งานติดคุณภาพ ขายไม่ได้,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-53089-100-10-0313-E,กส.แป้งส่งออกตรา LIQIAO 25KG_20250510,#DIV/0!,,,380,0,380,01/06/2025,04/06/2025,9-12 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-53089-100-10-0326-E,CC กส.แป้งส่งออก_LIQIAO_25KG_20251110,#DIV/0!,,,349,0,349,08/11/2025,14/11/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,แจ้ง 2/1 บต.ไปเคลียร์,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-53089-100-10-0336-E,CC กส.แป้งส่งออก_LIQIAO_25KG_20260205,#DIV/0!,,,600,0,600,15/12/2025,18/12/2025,2-4 เดือน,,,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-53089-100-10-0339-E,กส.แป้งส่งออก_LIQIAO_25KG_20260305,#DIV/0!,,,480,0,480,29/01/2026,31/01/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-53090-20E-10-0329-E,กส.แป้ง_Eiamheng 2P_25KG_20251125_AT2025,#DIV/0!,,,352,0,352,28/11/2025,20/01/2026,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,แจ้ง 2/1 บต.ไปเคลียร์,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66105-100-10-0310-E,กส.แป้ง Eiamheng 2P_50KG_20250315,#DIV/0!,,,315,0,315,30/05/2025,31/05/2025,9-12 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66105-100-10-0311-E,กส.แป้ง Eiamheng 2P_50KG_20250525,#DIV/0!,,,592,0,592,26/05/2025,28/05/2025,9-12 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66105-100-10-0314-E,CC กส.แป้ง Eiamheng 2P_50KG_20250610,#DIV/0!,,,303,0,303,08/06/2025,11/09/2025,9-12 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66105-100-10-0327-E,CC กส.แป้ง Eiamheng 2P_50KG_20251125,#DIV/0!,,,175,0,175,19/11/2025,21/11/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,แจ้ง 2/1 บต.ไปเคลียร์,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66105-100-10-0334-E,กส.แป้ง Eiamheng 2P_50KG_20260201,#DIV/0!,,,440,0,440,09/12/2025,16/01/2026,2-4 เดือน,,,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66109-10E-10-0324-E,CC กส.แป้ง_Eiamheng 2P_50KG_20251020_AT,#DIV/0!,,,130,0,130,05/11/2025,08/11/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,แจ้ง 2/1 บต.ไปเคลียร์,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66109-10E-10-0328-E,CC กส.แป้ง_Eiamheng 2P_50KG_20251125_AT,#DIV/0!,,,230,0,230,26/11/2025,28/11/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,7. ขายเกรดบี,แจ้ง 2/1 บต.ไปเคลียร์,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66109-10E-10-0331-E,CC กส.แป้ง_Eiamheng 2P_50KG_20251220_AT,#DIV/0!,,,150,0,150,08/12/2025,12/12/2025,2-4 เดือน,,,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66109-10E-10-0332-E,กส.แป้ง_Eiamheng 2P_50KG_20251225_AT2025,#DIV/0!,,,210,0,210,11/12/2025,15/12/2025,2-4 เดือน,,,,,-
P2/1,ปิยวัฒน์,บจ. แป้งมันเอี่ยมเฮง,G91-01-807-66109-10E-10-0338-E,กส.แป้ง STARPRO_50KG_ATUTS_ERR_20260201,#DIV/0!,,,366,0,366,07/02/2026,06/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ธนโชติ,น้ำตาลมิตรกาฬสินธุ์,G91-01-835-51076-110-00-0030-L,MK096 R01 Unrefined (VHP) 25kg KOREA,+0/-0 ( ใช้เทปรัดเบลสีแดง),,,182,0,182,27/01/2026,31/01/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ธนโชติ,น้ำตาลมิตรกาฬสินธุ์,G91-01-835-60094-100-10-0027-L,MK129 RE.00 Refined Sugar 50กก.คาดฟ้าTNS,#DIV/0!,"80,000",,527,527,0,10/09/2025,11/09/2025,5-6 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/2,ภูมิดล,น้ำมันพืชไทย,G91-01-849-71096-120-00-0017-1,กระสอบดีฮัล ซอยมิล 47% พรีเมี่ยม 09-24,-1,"130,000",,"123,916","123,916",0,09/02/2026,08/01/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,ภูมิดล,น้ำมันพืชไทย,G91-01-849-71096-120-00-0018-1,กระสอบ TVO ไฮโพรมิล 45%_08-24,-1,"350,000","250,000","49,232","49,232",0,20/02/2026,14/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ธนโชติ,บจ.เทอราโกร เฟอร์ติไลท์เซอร์,G91-01-893-58094-120-10-0314-1,CC 67-ปุ๋ยมงกุฎ 15-7-18 ส้ม-นง 1419/63,#DIV/0!,0,,300,0,300,17/01/2025,16/01/2025,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,8. ขายเม็ดหลอม,,,-
P2/1,ธนโชติ,บจ.เทอราโกร เฟอร์ติไลท์เซอร์,G91-01-893-61102-120-10-0328-1,CC 68-ปุ๋ยมงกุฎ 46-0-0 ฟ้า-ชมพู_2120073/,#DIV/0!,,,395,0,395,27/08/2025,15/09/2025,5-6 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,8. ขายเม็ดหลอม,,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-51076-110-00-0055-1,กส.น้ำตาลบ้านอ้อย 1x25 กก.r9_11-24,#DIV/0!,"54,814",,"50,981","50,981",0,20/02/2026,31/01/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,8. ขายเม็ดหลอม,,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-51076-110-00-0065-1,BROWN-SUGAR_1KGx25-(DOMESTIC)-Rev01,-1,"20,964",,"21,770","20,964",806,20/02/2026,09/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-60095-100-10-0057-1,CC  REFINED-SUGAR_50KG-(DOMESTIC),#DIV/0!,,,"4,920",0,"4,920",22/08/2025,16/08/2025,7-8 เดือน,3. สินค้ามีปัญหาคุณภาพ,8. ขายเม็ดหลอม,งานติดปัญหาคุณภาพ ส่งมาจากหลังขายไป,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-60095-100-10-0058-1,CC REFINED-SUGAR S36_50KG-(EXPORT),#DIV/0!,,,"1,448",0,"1,448",18/09/2025,17/09/2025,5-6 เดือน,3. สินค้ามีปัญหาคุณภาพ,8. ขายเม็ดหลอม,งานติดปัญหาคุณภาพ ส่งมาจากหลังขายไป,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-60095-100-10-0062-1,กส.WHITE-SUGAR_50KG-(DOMESTIC),#DIV/0!,"401,848",,"1,024","1,024",0,12/02/2026,19/02/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-60095-100-10-0063-1,REFINED-SUGAR S36_50KG-(EXPORT)-Rev01,#DIV/0!,"306,600",,892,892,0,19/02/2026,19/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/1,ปันภัค,บริษัทน้ำตาลครบุรีจำกัด (มหาชน),G91-01-895-60095-100-10-0064-1,REFINED-SUGAR_50KG-(DOMESTIC)-Rev01,#DIV/0!,,,346,0,346,22/12/2025,24/12/2025,2-4 เดือน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
